original_id,title,user_input,precision_at_k,recall_at_k,mrr,ndcg,binary_genre_similarity,proportional_genre_similarity,top_k_ids,top_k_titles
54989,Amor Estranho Amor,"Um drama histórico sobre um jovem que se vê envolvido em um bordel cheio de segredos, explorando temas como incesto, prostituição e despertar sexual no Brasil dos anos 1930.",0.0,0.0,0.0,0.0,0.5,0.25,322983|780195|283716|460221|199896,Aberrações de uma Prostituta|Em Busca de Carlos Zéfiro|Vadias do Sexo Sangrento|Um Ramo Para Luísa|O Cortiço
997265,Regra 34,"Um thriller erótico sobre uma defensora pública que vive uma dupla vida, explorando seus desejos mais obscuros em um mundo de violência e BDSM.",0.0,0.0,0.0,0.0,0.25,0.25,195452|472315|283716|621984|358896,As Amorosas|Amassa Que Elas Gostam|Vadias do Sexo Sangrento|A Fome do Sexo|Sadismo - Aberrações Sexuais
1321476,Zuzubalândia - O Filme,"Uma animação infantil sobre um reino mágico feito de comida, onde uma bruxa má tenta destruir a magia, e uma heroína precisa salvar seu mundo com coragem e determinação.",0.0,0.0,0.0,0.0,0.0,0.0,84756|84751|372879|1400275|409317,Xuxa e os Duendes 2: No Caminho das Fadas|Xuxa e os Duendes|As Quatro Chaves Mágicas|Universo Mágico: GEMMA|É Fada!
818511,Carga Máxima,"Um thriller de ação com perseguições de caminhões, explosões e gangues criminosas, cheio de adrenalina e reviravoltas em alta velocidade.",1.0,1.0,1.0,1.0,0.6,0.3333333333333333,818511|1097175|258968|160745|1213583,Carga Máxima|Grande Sertão|República dos Assassinos|Porto dos Mortos|O Palco dos Rebeldes
1317444,Moisés,Um drama sobre um garoto de programa que enfrenta a hipocrisia da sociedade enquanto luta para sobreviver em meio a desafios pessoais e preconceitos.,1.0,1.0,0.2,0.38685280723454163,0.0,0.0,1195704|1213277|145372|1034317|1317444,Mentiras Revolucionárias|Criança Enjaulada|O Cabeleira|Indestrutível|Moisés
1169900,Mamonas Assassinas: O Filme,"Uma comédia musical biográfica sobre a trajetória da famosa banda brasileira, desde seus humildes começos até o sucesso explosivo e trágico.",1.0,1.0,0.5,0.6309297535714575,1.0,0.9,947457|1169900|1030653|995503|434742,"Nosso Sonho|Mamonas Assassinas: O Filme|Elis & Tom - Só Tinha de Ser com Você|Coisas Nossas|Alô, Alô, Brasil"
1179051,Missão Porto Seguro,Uma comédia de ação sobre uma policial que se disfarça de adolescente para se infiltrar em uma viagem de formatura e desmantelar uma organização criminosa.,1.0,1.0,0.5,0.6309297535714575,0.6,0.4,417512|1179051|379754|426754|449686,"É Um Caso de Polícia!|Missão Porto Seguro|Os Marginais|Gimba, Presidente dos Valentes|Fuga Sem Destino"
1025463,Biônicos,"Uma ficção científica sobre um futuro distópico onde atletas com próteses robóticas competem, mas a rivalidade entre duas irmãs leva a consequências sombrias.",1.0,1.0,1.0,1.0,0.4,0.3333333333333333,1025463|122214|475756|1394193|540789,Biônicos|A Princesa e o Robô|Entre Irmãs|A Tragédia das Imagens|Um Corpo Feminino
1140346,A Herança,"Um terror psicológico sobre um homem que retorna ao Brasil e descobre segredos macabros em uma casa no interior, onde o passado familiar esconde horrores inesperados.",0.0,0.0,0.0,0.0,0.0,0.0,322985|1412978|245869|968519|306472,"Pedro Canhoto, O Vingador Erótico|A Vida Secreta de Meus Três Homens|Selva Trágica|Brasileiríssima|Desesperato"
666,Central do Brasil,"Um drama emocionante sobre uma mulher amarga que acaba cuidando de um menino órfão em uma viagem pelo Nordeste, mostrando a transformação de ambos no caminho.",0.0,0.0,0.0,0.0,0.8,0.8,487491|156341|256186|376896|199432,"Fala Sério, Mãe!|Polaróides Urbanas|Mãe e Filha|Mulher|O Canto do Mar"
93858,Tabu,"Um drama romântico sobre uma idosa misteriosa cujo passado na África é revelado após sua morte, explorando temas como colonialismo e amor proibido.",0.0,0.0,0.0,0.0,0.8,0.5,173443|306472|713862|1432496|393448,Uma História de Amor e Fúria|Desesperato|A Morte Branca do Feiticeiro Negro|Ontem|Amor e Desamor
1395822,Senna por trás das cameras,"Um documentário revelador sobre os bastidores da produção do filme sobre o lendário piloto de F1, mostrando os desafios técnicos e criativos para contar sua história.",0.0,0.0,0.0,0.0,0.8,0.8,627114|229664|829810|365487|1206403,Making of O Auto da Compadecida|Corpos Celestes|Mr. Dreamer|Futuro Junho|Fui na feira
232771,Promiscuidade os Pivetes de Kátia,"Um drama polêmico sobre uma família que se envolve em uma espiral de libertinagem após um acidente, explorando tabus sexuais e relacionamentos disfuncionais.",0.0,0.0,0.0,0.0,0.5,0.5,495469|536409|283716|341612|152244,A Morte Inventada - Alienação Parental|O Escândalo na Sociedade|Vadias do Sexo Sangrento|Mulher Objeto|Matou a Família e Foi ao Cinema
310569,Que Horas Ela Volta?,"Um drama social sobre uma empregada doméstica que lida com as diferenças de classe quando sua filha chega para morar na casa dos patrões, gerando tensões e conflitos.",0.0,0.0,0.0,0.0,0.6,0.6,1205154|156341|522168|248244|71196,"Te Vejo Amanhã?|Polaróides Urbanas|Mulheres Alteradas|Bonitinha, Mas Ordinária|Trair e Coçar é Só Começar"
446159,Bacurau,"Um thriller político sobre um povoado do sertão que desaparece do mapa, enquanto assassinatos misteriosos levam os moradores a se revoltar contra um inimigo invisível.",1.0,1.0,1.0,1.0,0.2,0.2,446159|1380847|718771|379754|1305082,"Bacurau|BOSQUE|O Salário da Morte|Os Marginais|Não Existem Mártires, Apenas Marketing"
928334,O Amante de Júlia,"Um romance dramático sobre um casal em crise após um acidente, onde a rejeição leva a um novo amor, mas o passado volta para assombrá-los.",0.0,0.0,0.0,0.0,1.0,0.7,1309743|183678|341860|1181237|215301,Emaranhado|A Margem|Cleo e Daniel|Apaixonada|Pequeno Dicionário Amoroso
58235,Bruna Surfistinha,"Um drama biográfico sobre uma jovem de classe média que se torna garota de programa e famosa blogueira, enfrentando preconceitos e buscando sua independência.",0.0,0.0,0.0,0.0,0.8,0.8,1170770|195452|156341|47283|1394929,Nanquim Descartável|As Amorosas|Polaróides Urbanas|A Dona da História|Eu me tornei outra coisa
42148,Pixote: A Lei do Mais Fraco,"Um drama social cru sobre um menino abandonado que sobrevive nas ruas através do crime, mostrando a violência e a falta de oportunidades para menores marginalizados.",0.0,0.0,0.0,0.0,0.6,0.4,1266280|379754|1152835|495469|265554,Filhos do Mangue|Os Marginais|Se Essa Rua Fosse Minha|A Morte Inventada - Alienação Parental|Fragmentos da Vida
75268,Histórias Que Nossas Babás Não Contavam,"Uma comédia irreverente que satiriza contos de fadas, com uma princesa ninfomaníaca, anões excêntricos e muito humor adulto.",0.0,0.0,0.0,0.0,0.6,0.3,122214|258725|459788|717235|372879,A Princesa e o Robô|A Princesa e o Sapo|Lino: Uma Aventura de Sete Vidas|Alice no País das Maravilhas|As Quatro Chaves Mágicas
506464,O Doutrinador,"Um thriller político sobre um vigilante mascarado que luta contra a corrupção no Brasil, usando métodos violentos para fazer justiça com as próprias mãos.",1.0,1.0,1.0,1.0,0.5,0.3125,506464|322985|1202791|1384315|935912,"O Doutrinador|Pedro Canhoto, O Vingador Erótico|APOTEOSE 85|BATEMAN - O Herói Que Bate|Odilon, O Réu de Si Mesmo"
829424,Perlimps,Uma animação fantástica sobre dois agentes secretos de reinos rivais que devem unir forças para salvar criaturas mágicas e restaurar a paz em uma floresta ameaçada.,1.0,1.0,0.3333333333333333,0.5,0.8,0.6,84756|372879|829424|84751|1285655,Xuxa e os Duendes 2: No Caminho das Fadas|As Quatro Chaves Mágicas|Perlimps|Xuxa e os Duendes|Wicked Game
656563,Ricos de Amor,"Um romance leve sobre um jovem rico que esconde sua identidade para conquistar uma garota, criando confusões engraçadas e mostrando que o amor vai além do dinheiro.",0.0,0.0,0.0,0.0,0.2,0.2,248244|195452|1181237|1296671|341860,"Bonitinha, Mas Ordinária|As Amorosas|Apaixonada|Obsessão Maldita|Cleo e Daniel"
1054561,Abraço de Mãe,"Um terror emocional sobre bombeiros em uma missão para evacuar um asilo durante uma tempestade, enfrentando perigos sobrenaturais e dilemas morais.",1.0,1.0,1.0,1.0,1.0,0.6,1054561|1374043|1380847|70420|1265973,Abraço de Mãe|Inflamável|BOSQUE|A Estranha Hospedaria dos Prazeres|Incêndio
1340714,Falando das Flores,"Um drama político sobre um noivo desaparecido durante protestos, enquanto seu parceiro enfrenta o caos e a dor em meio a um casamento interrompido pela repressão.",1.0,1.0,1.0,1.0,1.0,1.0,1340714|1136607|393448|341612|360232,Falando das Flores|Zé|Amor e Desamor|Mulher Objeto|Entreturnos
613868,Primos,"Um romance proibido entre dois primos em uma cidade pequena, explorando temas como sexualidade, religião e aceitação em uma narrativa sensível e emocionante.",0.0,0.0,0.0,0.0,0.75,0.25,400050|358896|621984|500551|75883,"Um Clássico, Dois em Casa, Nenhum Jogo Fora|Sadismo - Aberrações Sexuais|A Fome do Sexo|Public Intimacy|Sexo com Amor?"
652483,Modo Avião,"Uma comédia romântica sobre uma influenciadora digital que é forçada a se desconectar do celular e descobrir a vida real, com situações hilárias e lições valiosas.",0.0,0.0,0.0,0.0,1.0,0.4666666666666666,1311955|195452|430128|1309743|69938,Zombies digitais|As Amorosas|Internet - O Filme|Emaranhado|Cilada.com
502581,Nada a Perder,"Um drama biográfico sobre um líder religioso controverso, mostrando sua ascensão, escândalos e a construção de um império midiático e religioso no Brasil.",0.0,0.0,0.0,0.0,0.8,0.8,74349|507935|368103|173443|192512,O Dragão da Maldade contra o Santo Guerreiro|Fé|Chatô: O Rei do Brasil|Uma História de Amor e Fúria|Mauá - O Imperador e o Rei
1043808,Vitória,"Um drama baseado em fatos reais sobre uma idosa que documenta o tráfico de drogas em seu bairro, enfrentando perigos para denunciar a violência e a corrupção.",1.0,1.0,1.0,1.0,0.6,0.6,1043808|467968|1433456|555785|536797,Vitória|Rota de Fuga|Ione|Relatos do Front|Na Mira do Assassino
429474,Esperando Cecília,"Um drama minimalista sobre dois amigos que aguardam a chegada de alguém especial, explorando diálogos profundos e a passagem do tempo em um encontro cotidiano.",0.0,0.0,0.0,0.0,0.5,0.5,1309743|1402457|631823|526703|438602,Emaranhado|Sabiá|Cadência|Silêncio|Lamparina da Aurora
429210,Bingo: O Rei das Manhãs,"Um drama biográfico sobre um famoso palhaço de TV que luta contra o anonimato e a frustração de ser reconhecido apenas por seu personagem, não por sua verdadeira identidade.",0.0,0.0,0.0,0.0,0.8,0.4,195452|998065|1397304|915985|636682,As Amorosas|Meu Outro Nome É Luiza|Trópico de Leão|Noctiluzes|Eu Sinto Muito
786705,Confissões de uma Garota Excluída,"Um drama adolescente sobre uma garota que tenta se reinventar em uma nova escola após sofrer bullying, mostrando suas inseguranças e a busca por aceitação.",1.0,1.0,1.0,1.0,0.8,0.5,786705|180371|1079056|1210833|1041957,Confissões de uma Garota Excluída|Vai Que Dá Certo|Apprehension|Automação dos Poetas Mortos|MEDÉIA
40423,Orfeu do Carnaval,"Um drama musical que adapta o mito de Orfeu e Eurídice no cenário do Carnaval carioca, com samba, paixão e tragédia em uma narrativa poética e emocional.",1.0,1.0,1.0,1.0,0.4,0.3,40423|359808|37817|1255807|385566,"Orfeu do Carnaval|Damas do Samba|Ó Paí, Ó|É o Boi|Apaixonados: O Filme"
558556,Astaroth,"Um terror sobrenatural sobre um tatuador obcecado por um demônio, cujos rituais sombrios atraem forças malignas que ameaçam destruir sua vida e de quem ele ama.",1.0,1.0,1.0,1.0,1.0,1.0,558556|1458600|1315318|1283277|428882,"Astaroth|Divino Assassino|Lâmia, Vampiro!|Vampiro da Rua|Mal Nosso"
67062,Terra em Transe,"Um drama político alegórico sobre um poeta dividido entre a revolução e a loucura em um país fictício, criticando a corrupção e a manipulação do poder.",0.0,0.0,0.0,0.0,0.5,0.5,372816|774852|535978|637632|923075,Gitirana|Dramática|A Saga da Alma de um Poeta|Bobo da Corte|Patativa do Assaré - Um Poeta do Povo
418896,O Vendedor de Sonhos,"Um drama filosófico sobre um mendigo que salva um homem do suicídio e o leva em uma jornada de transformação, questionando o sentido da vida e os valores da sociedade.",1.0,1.0,0.3333333333333333,0.5,1.0,1.0,535978|331100|418896|1391904|1429782,A Saga da Alma de um Poeta|O Lado Certo da Vida Errada|O Vendedor de Sonhos|Ecos Do Silêncio|Noúres
820710,Medusa,"Um terror feminista sobre uma gangue de mulheres que perseguem e punem outras que consideram pecadoras, em uma crítica à moralidade e à violência religiosa.",1.0,1.0,1.0,1.0,0.5,0.375,820710|358896|859893|1027261|1009434,Medusa|Sadismo - Aberrações Sexuais|Casa Helenira Preta de Referência para Mulher|O Clube das Mulheres de Negócios|Confessionário - Relatos de Casa - Ana Paula
203217,Minha Mãe é uma Peça: O Filme,"Uma comédia popular sobre uma mãe divorciada que tenta reconstruir sua vida e reconquistar o amor dos filhos, com situações hilárias e emocionantes.",0.0,0.0,0.0,0.0,0.8,0.8,522168|236310|513216|1392766|620683,Mulheres Alteradas|Mar de Rosas|Todo Clichê do Amor|A Mãe da Mãe da Menina|Minha Mãe é uma Peça 3: O Filme
52333,Nosso Lar,"Um drama espiritual baseado nas obras de Chico Xavier, mostrando a vida após a morte em uma colônia espiritual e as lições aprendidas por um médico recém-chegado.",1.0,1.0,1.0,1.0,0.5,0.5,52333|41520|687740|843643|379316,Nosso Lar|Chico Xavier|As Cartas de Chico Xavier|Delírios – Filosofia e Reflexão no Túnel da Morte|O Caseiro
1220450,Casamento às Cegas Brasil: Depois do Altar,"Um reality show em formato de documentário que reúne participantes de um experimento social sobre amor e relacionamentos, revelando dramas e reconciliações.",0.0,0.0,0.0,0.0,0.4,0.3,195452|156180|1318599|636682|297278,As Amorosas|Amor?|Partilha|Eu Sinto Muito|Na Quebrada
44125,Do Começo ao Fim,"Um romance controverso sobre dois meio-irmãos que desenvolvem um relacionamento amoroso, explorando tabus familiares e a complexidade dos sentimentos humanos.",0.0,0.0,0.0,0.0,1.0,0.6,183678|341860|1413709|441730|1176878,A Margem|Cleo e Daniel|Homens de Barro|Fica Comigo|Leme do Destino
1429511,Vislumbres,"Um documentário experimental sobre a cultura ballroom em São Paulo, mostrando a arte, a resistência e a expressão da comunidade LGBTQIA+ através da dança e da moda.",1.0,1.0,0.3333333333333333,0.5,1.0,0.6,704081|1245094|1429511|542783|668044,Para Onde Voam as Feiticeiras|Em Movimento|Vislumbres|Maravilhosa|Inabitáveis
1193283,Salão De Baile,"Um documentário sobre a cena LGBTQIA+ em salões de baile, celebrando a diversidade, a criatividade e a luta por visibilidade em um espaço de acolhimento e expressão.",0.0,0.0,0.0,0.0,1.0,1.0,542783|668044|704081|1204664|832399,"Maravilhosa|Inabitáveis|Para Onde Voam as Feiticeiras|Bixas Pretas: Entre o Amor e Afetos|Além de Petro, Viado"
42109,"Gabriela, Cravo e Canela","Um drama romântico baseado no clássico de Jorge Amado, sobre uma mulher sensual que desafia os costumes de uma cidade conservadora no Nordeste dos anos 1920.",0.0,0.0,0.0,0.0,1.0,0.5,393448|341386|272149|236310|500446,Amor e Desamor|Seara Vermelha|Traição|Mar de Rosas|Adágio ao Sol
1184420,Morando com o Crush,"Uma comédia romântica sobre dois adolescentes apaixonados cujos pais começam a namorar, forçando-os a conviver e enfrentar sentimentos confusos sob o mesmo teto.",0.0,0.0,0.0,0.0,0.6,0.3,441730|1041957|341860|1131822|719030,Fica Comigo|MEDÉIA|Cleo e Daniel|Traição Entre Amigas|Nós
1156212,Maníaco do Parque,"Um thriller baseado em crimes reais, sobre uma jornalista que investiga um assassino em série, colocando sua própria vida em risco para desvendar os horrores cometidos.",0.0,0.0,0.0,0.0,0.6,0.2,1054630|437841|160745|536797|417512,A Beleza Viva nos Teus Olhos Mortos|Coleção de Humanos Mortos|Porto dos Mortos|Na Mira do Assassino|É Um Caso de Polícia!
1131279,Princesa Adormecida,Um romance fantástico sobre uma adolescente superprotegida que descobre um mistério do passado e precisa enfrentar uma vilã vingativa para salvar seu destino.,0.0,0.0,0.0,0.0,0.0,0.0,886511|1296671|539042|410561|1352336,Curupira: O Demônio da Floresta|Obsessão Maldita|Deslembro|Os Xeretas|Lispectorante
1097702,Falas Femininas,"Um documentário emocionante que reúne histórias de mulheres diversas, discutindo desafios, conquistas e a luta por igualdade em diferentes contextos sociais.",0.0,0.0,0.0,0.0,0.0,0.0,791457|980312|748726|1277501|484813,MUJ(ERES)?|(Des)Proporcional|Carta Sobre Nosso Lugar: Mulheres do Vila Nova|O Primeiro Beijo|Meeting of the Waters
1004284,Nosso Lar 2: Os Mensageiros,"Uma continuação espiritualista sobre espíritos em missão na Terra, explorando temas como redenção, ajuda ao próximo e a conexão entre os planos material e espiritual.",0.0,0.0,0.0,0.0,0.75,0.75,194773|619517|1426951|80763|365424,Vereda da Salvação|Oni|Espirito do Tempo|O Filme dos Espíritos|Oração do Amor Selvagem
594797,Maria Luiza,"Um documentário sobre a primeira mulher trans nas Forças Armadas brasileiras, mostrando sua batalha por reconhecimento e respeito em um ambiente tradicionalmente conservador.",1.0,1.0,1.0,1.0,1.0,1.0,594797|1121606|568586|613126|1121604,Maria Luiza|Memórias Femininas da Luta Contra a Ditadura Militar|Exteriores - Mulheres Brasileiras na Diplomacia|O Corpo é Nosso!|Trans(verso)
8440,Carandiru,"Um drama baseado em fatos reais sobre a vida no maior presídio da América Latina, mostrando a violência, a solidariedade e o massacre que marcou a história do Brasil.",0.0,0.0,0.0,0.0,0.75,0.75,315749|181619|831745|800305|1042718,"Topografia De Um Desnudo|Pra Frente, Brasil|Meu Tio José|O Menino Que Matou Meus Pais|Boca Fechada"
651906,M-8: Quando a Morte Socorre a Vida,"Um thriller médico sobre um estudante que investiga a identidade de um cadáver usado em suas aulas de anatomia, descobrindo segredos sombrios e ligações com seu passado.",0.0,0.0,0.0,0.0,0.4,0.2,1385687|1393836|1073308|1384354|379316,[Projeto sem Título]|O Vale da Sombras da Morte|Do Útero Ao Túmulo|Olhe Para Mim|O Caseiro
1025463,Esposa de Aluguel,"Uma comédia romântica sobre um solteirão que contrata uma falsa esposa para herdar uma fortuna, mas acaba se envolvendo em confusões e sentimentos inesperados.",0.0,0.0,0.0,0.0,0.0,0.0,373680|522168|195452|260985|261457,A Cama ao Alcance de Todos|Mulheres Alteradas|As Amorosas|Sonhando com Milhões|A Arte de Amar Bem
648818,"Julian sem A, sem O","Um documentário íntimo sobre um artista trans que compartilha sua jornada de autodescoberta, desafios e a busca por aceitação em um mundo cheio de preconceitos.",0.0,0.0,0.0,0.0,0.6,0.6,636682|1275708|466884|1121604|1162961,Eu Sinto Muito|Crayon|Tailor|Trans(verso)|Stavo
42234,Dona Flor e Seus Dois Maridos,"Uma comédia clássica sobre uma viúva que recebe a visita do fantasma do marido falecido, criando situações hilárias e românticas com seu novo e recatado esposo.",0.0,0.0,0.0,0.0,0.8,0.25,423661|80763|236310|743091|1307903,Um Homem e Sua Jaula|O Filme dos Espíritos|Mar de Rosas|Possessões|Pequenas Criaturas
7343,Cidade dos Homens,"Um drama urbano sobre dois amigos crescendo em uma favela, enfrentando a violência das gangues e os desafios da vida adulta em um cenário de desigualdade social.",0.0,0.0,0.0,0.0,0.6,0.6,360789|379754|194814|475756|393448,"Sexo, Sexo e Sexo|Os Marginais|Maior Que o Ódio|Entre Irmãs|Amor e Desamor"
553608,Cinderela Pop,"Um musical moderno sobre uma princesa dos dias atuais que perde tudo, mas encontra o amor e a força para reconstruir sua vida com autenticidade e independência.",1.0,1.0,1.0,1.0,0.8,0.6,553608|1131279|1412505|1100784|236310,Cinderela Pop|Princesa Adormecida|Amaríssima|A Rainha da Noite|Mar de Rosas
43615,"Lula, o Filho do Brasil","Um drama biográfico sobre a infância e juventude do ex-presidente brasileiro, mostrando sua origem humilde, lutas políticas e ascensão na vida pública.",0.0,0.0,0.0,0.0,0.4,0.2,1195721|1361293|194980|650916|670515,15 filhos|Brizola|O Desafio|Fico Te Devendo uma Carta do Brasil|Patriamada
466190,O Matador,"Um faroeste brasileiro sobre um cangaceiro que busca vingança contra um poderoso francês explorador de pedras preciosas, em um cenário de violência e injustiça no sertão.",0.0,0.0,0.0,0.0,0.25,0.125,322985|506464|1004896|263430|64463,"Pedro Canhoto, O Vingador Erótico|O Doutrinador|A Arte do Roubo|O Baiano Fantasma|Cabeça a Prêmio"
661595,A Princesa da Yakuza,"Um thriller de ação sobre uma herdeira da máfia japonesa que descobre seu passado e precisa lutar para sobreviver em São Paulo, com cenas de lutas e conspirações.",0.0,0.0,0.0,0.0,0.0,0.0,536797|1097175|1336951|70147|379754,Na Mira do Assassino|Grande Sertão|Mandinga de Gorila|A Dama do Cine Shanghai|Os Marginais
962232,Depois do Universo,"Um romance emocionante sobre uma pianista com lúpus que encontra um médico gentil, mostrando como o amor pode surgir mesmo em meio às maiores adversidades da vida.",0.0,0.0,0.0,0.0,1.0,0.5,1200486|1181237|355282|147872|409107,O Pianista|Apaixonada|Introdução à Música do Sangue|Fome de Amor|Beduino
364327,Jonas,"Um thriller psicológico sobre um jovem que sequestra a filha de sua patroa durante o Carnaval, levando-a para uma jornada perturbadora dentro de um carro alegórico.",1.0,1.0,1.0,1.0,1.0,0.625,364327|236310|1397304|195449|228144,Jonas|Mar de Rosas|Trópico de Leão|Estranho Encontro|Corda Bamba: A História de uma Menina Equilibrista
471076,"Aconteceu, virou Manchete! A História da Rede Manchete","Um documentário nostálgico sobre a extinta TV Manchete, relembrando seus programas icônicos, jornalismo ousado e dramas históricos que marcaram a televisão brasileira.",0.0,0.0,0.0,0.0,0.0,0.0,788328|409457|519248|75273|1002427,"Chacrinha: Eu Vim para Confundir e Não para Explicar|O Fim do Sem Fim|Impressões do Brasil|Alô, Alô, Terezinha!|Documentário Brasil Tupinambá"
1274746,Baby,"Um drama LGBTQIA+ sobre um jovem ex-detento que se envolve com um homem mais velho, explorando relações de poder, afeto e sobrevivência nas ruas de São Paulo.",0.0,0.0,0.0,0.0,0.5,0.25,262782|1340214|979295|358509|669850,"Do Lado de Fora|Me Veja Nos Seus Olhos|DesAmor|André, a Cara e a Coragem|As Mulheres Que Dão Certo"
