original_id,title,user_input,precision_at_k,recall_at_k,mrr,ndcg,binary_genre_similarity,proportional_genre_similarity,top_k_ids,top_k_titles
7347,Tropa de Elite,"Um filme de ação intenso sobre policiais de elite em meio ao caos das favelas, mostrando a brutalidade da guerra contra o tráfico e os dilemas morais enfrentados pelos agentes.",0.000000,0.000000,0.000000,0.000000,0.666667,0.333333,"1410216,1097175,417512,258968,1147387","Na Linha de Fogo,Grande Sertão,É Um Caso de Polícia!,República dos Assassinos,Luz Câmera 50 Anos: Força-Tarefa - O Filme"
197158,Pornô!,"Um filme erótico em episódios, misturando terror e comédia, com histórias sobre fetiches, relacionamentos lésbicos e situações sobrenaturais envolvendo desejo e perversão.",1.000000,1.000000,0.500000,0.630930,1.000000,0.450000,"283716,197158,280801,330456,1376169","Vadias do Sexo Sangrento,Pornô!,O Doce Esporte do Sexo,Gamal O Delírio do Sexo,O Diabo Em Nós"
187826,Bonitinha mas Ordinária,"Um drama psicológico sobre um homem humilde que aceita um casamento arranjado, mas se vê dividido entre o dinheiro e o amor verdadeiro, em uma trama cheia de reviravoltas.",0.000000,0.000000,0.000000,0.000000,0.400000,0.200000,"865703,1285476,613960,1181237,522168","Instinto Devasso,Interlúdio,Amor de Perversão,Apaixonada,Mulheres Alteradas"
47931,Tropa de Elite 2: O Inimigo Agora é Outro,"A continuação do filme sobre a polícia de elite, agora enfrentando um novo inimigo: as milícias e a corrupção dentro do próprio sistema, com cenas de ação e críticas sociais.",0.000000,0.000000,0.000000,0.000000,0.750000,0.416667,"331081,1097175,1410216,372882,417512","Caveira My Friend,Grande Sertão,Na Linha de Fogo,Perpétuo Contra o Esquadrão da Morte,É Um Caso de Polícia!"
950526,O Mestre da Fumaça,"Uma comédia de ação sobre um jovem que aprende um estilo único de luta enquanto enfrenta a máfia, misturando artes marciais, maconha e muita aventura.",1.000000,1.000000,1.000000,1.000000,0.600000,0.333333,"950526,500854,145372,1244236,1434126","O Mestre da Fumaça,Tinta Bruta,O Cabeleira,Um Dia de Fúria,Colégio Girassol"
54989,Amor Estranho Amor,"Um drama histórico sobre um jovem que se vê envolvido em um bordel cheio de segredos, explorando temas como incesto, prostituição e despertar sexual no Brasil dos anos 1930.",0.000000,0.000000,0.000000,0.000000,0.500000,0.250000,"322983,195452,780195,621984,283716","Aberrações de uma Prostituta,As Amorosas,Em Busca de Carlos Zéfiro,A Fome do Sexo,Vadias do Sexo Sangrento"
997265,Regra 34,"Um thriller erótico sobre uma defensora pública que vive uma dupla vida, explorando seus desejos mais obscuros em um mundo de violência e BDSM.",0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,"195452,472315,283716,621984,684125","As Amorosas,Amassa Que Elas Gostam,Vadias do Sexo Sangrento,A Fome do Sexo,Foram os Sussurros que Me Mataram"
1321476,Zuzubalândia - O Filme,"Uma animação infantil sobre um reino mágico feito de comida, onde uma bruxa má tenta destruir a magia, e uma heroína precisa salvar seu mundo com coragem e determinação.",1.000000,1.000000,0.500000,0.630930,0.200000,0.200000,"84756,1321476,409317,372879,84751","Xuxa e os Duendes 2: No Caminho das Fadas,Zuzubalândia - O Filme,É Fada!,As Quatro Chaves Mágicas,Xuxa e os Duendes"
818511,Carga Máxima,"Um thriller de ação com perseguições de caminhões, explosões e gangues criminosas, cheio de adrenalina e reviravoltas em alta velocidade.",1.000000,1.000000,1.000000,1.000000,0.750000,0.500000,"818511,461299,1097175,258968,320275","Carga Máxima,Noite Final Menos Cinco Minutos,Grande Sertão,República dos Assassinos,Mãos Sangrentas"
1317444,Moisés,Um drama sobre um garoto de programa que enfrenta a hipocrisia da sociedade enquanto luta para sobreviver em meio a desafios pessoais e preconceitos.,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,"1317444,1356739,1195704,1024020,145372","Moisés,Solitário,Mentiras Revolucionárias,Distante para Sempre,O Cabeleira"
1169900,Mamonas Assassinas: O Filme,"Uma comédia musical biográfica sobre a trajetória da famosa banda brasileira, desde seus humildes começos até o sucesso explosivo e trágico.",1.000000,1.000000,1.000000,1.000000,1.000000,0.800000,"1169900,947457,139432,434742,1030653","Mamonas Assassinas: O Filme,Nosso Sonho,Mamonas Pra Sempre,Alô Alô Brasil,Elis & Tom - Só Tinha de Ser com Você"
1179051,Missão Porto Seguro,Uma comédia de ação sobre uma policial que se disfarça de adolescente para se infiltrar em uma viagem de formatura e desmantelar uma organização criminosa.,1.000000,1.000000,1.000000,1.000000,0.400000,0.300000,"1179051,417512,426754,86614,609269","Missão Porto Seguro,É Um Caso de Polícia!,Gimba Presidente dos Valentes,No Meu Lugar,A Echarpe de Seda"
1025463,Biônicos,"Uma ficção científica sobre um futuro distópico onde atletas com próteses robóticas competem, mas a rivalidade entre duas irmãs leva a consequências sombrias.",1.000000,1.000000,1.000000,1.000000,0.750000,0.666667,"1025463,122214,1413002,1386766,1307903","Biônicos,A Princesa e o Robô,Distopia,Quadros Remanescentes: Tony e a Paralisia do Futuro,Pequenas Criaturas"
1140346,A Herança,"Um terror psicológico sobre um homem que retorna ao Brasil e descobre segredos macabros em uma casa no interior, onde o passado familiar esconde horrores inesperados.",1.000000,1.000000,1.000000,1.000000,0.750000,0.500000,"1140346,1253389,322985,1051652,1412978","A Herança,Relicário,Pedro Canhoto O Vingador Erótico,Casa Izabel,A Vida Secreta de Meus Três Homens"
666,Central do Brasil,"Um drama emocionante sobre uma mulher amarga que acaba cuidando de um menino órfão em uma viagem pelo Nordeste, mostrando a transformação de ambos no caminho.",0.000000,0.000000,0.000000,0.000000,0.800000,0.800000,"807459,156341,376896,487491,236310","Menino Azul,Polaróides Urbanas,Mulher,Fala Sério Mãe!,Mar de Rosas"
93858,Tabu,"Um drama romântico sobre uma idosa misteriosa cujo passado na África é revelado após sua morte, explorando temas como colonialismo e amor proibido.",1.000000,1.000000,1.000000,1.000000,0.800000,0.600000,"93858,173443,713862,308704,1245409","Tabu,Uma História de Amor e Fúria,A Morte Branca do Feiticeiro Negro,A Misteriosa Morte de Pérola,Compram-se Memórias e Cartas de Amor"
1395822,Senna por trás das cameras,"Um documentário revelador sobre os bastidores da produção do filme sobre o lendário piloto de F1, mostrando os desafios técnicos e criativos para contar sua história.",0.000000,0.000000,0.000000,0.000000,0.800000,0.800000,"229664,377486,627114,365487,994468","Corpos Celestes,O Fabuloso Fittipaldi,Making of O Auto da Compadecida,Futuro Junho,Filho da Mãe"
232771,Promiscuidade os Pivetes de Kátia,"Um drama polêmico sobre uma família que se envolve em uma espiral de libertinagem após um acidente, explorando tabus sexuais e relacionamentos disfuncionais.",0.000000,0.000000,0.000000,0.000000,0.250000,0.250000,"358896,495469,152244,536409,283716","Sadismo - Aberrações Sexuais,A Morte Inventada - Alienação Parental,Matou a Família e Foi ao Cinema,O Escândalo na Sociedade,Vadias do Sexo Sangrento"
310569,Que Horas Ela Volta?,"Um drama social sobre uma empregada doméstica que lida com as diferenças de classe quando sua filha chega para morar na casa dos patrões, gerando tensões e conflitos.",0.000000,0.000000,0.000000,0.000000,0.750000,0.750000,"156341,71196,1205154,248244,1315843","Polaróides Urbanas,Trair e Coçar é Só Começar,Te Vejo Amanhã?,Bonitinha Mas Ordinária,Mamãe Saiu de Férias"
446159,Bacurau,"Um thriller político sobre um povoado do sertão que desaparece do mapa, enquanto assassinatos misteriosos levam os moradores a se revoltar contra um inimigo invisível.",1.000000,1.000000,1.000000,1.000000,0.400000,0.266667,"446159,1380847,718771,1373206,536797","Bacurau,BOSQUE,O Salário da Morte,Operação Borboleta,Na Mira do Assassino"
928334,O Amante de Júlia,"Um romance dramático sobre um casal em crise após um acidente, onde a rejeição leva a um novo amor, mas o passado volta para assombrá-los.",0.000000,0.000000,0.000000,0.000000,1.000000,0.700000,"1309743,341860,1181237,183678,1041957","Emaranhado,Cleo e Daniel,Apaixonada,A Margem,MEDÉIA"
58235,Bruna Surfistinha,"Um drama biográfico sobre uma jovem de classe média que se torna garota de programa e famosa blogueira, enfrentando preconceitos e buscando sua independência.",1.000000,1.000000,0.333333,0.500000,0.600000,0.600000,"1170770,156341,58235,195452,294157","Nanquim Descartável,Polaróides Urbanas,Bruna Surfistinha,As Amorosas,Apneia"
42148,Pixote: A Lei do Mais Fraco,"Um drama social cru sobre um menino abandonado que sobrevive nas ruas através do crime, mostrando a violência e a falta de oportunidades para menores marginalizados.",1.000000,1.000000,0.500000,0.630930,0.800000,0.600000,"1266280,42148,379754,807459,495469","Filhos do Mangue,Pixote: A Lei do Mais Fraco,Os Marginais,Menino Azul,A Morte Inventada - Alienação Parental"
75268,Histórias Que Nossas Babás Não Contavam,"Uma comédia irreverente que satiriza contos de fadas, com uma princesa ninfomaníaca, anões excêntricos e muito humor adulto.",0.000000,0.000000,0.000000,0.000000,0.600000,0.300000,"258725,122214,701769,1090993,459788","A Princesa e o Sapo,A Princesa e o Robô,Escola de Princesinhas 4,VROLOK,Lino: Uma Aventura de Sete Vidas"
506464,O Doutrinador,"Um thriller político sobre um vigilante mascarado que luta contra a corrupção no Brasil, usando métodos violentos para fazer justiça com as próprias mãos.",1.000000,1.000000,1.000000,1.000000,0.750000,0.375000,"506464,1202791,322985,111235,1384315","O Doutrinador,APOTEOSE 85,Pedro Canhoto O Vingador Erótico,O Homem da Capa Preta,BATEMAN - O Herói Que Bate"
829424,Perlimps,Uma animação fantástica sobre dois agentes secretos de reinos rivais que devem unir forças para salvar criaturas mágicas e restaurar a paz em uma floresta ameaçada.,1.000000,1.000000,1.000000,1.000000,0.800000,0.600000,"829424,372879,84756,84751,1285655","Perlimps,As Quatro Chaves Mágicas,Xuxa e os Duendes 2: No Caminho das Fadas,Xuxa e os Duendes,Wicked Game"
656563,Ricos de Amor,"Um romance leve sobre um jovem rico que esconde sua identidade para conquistar uma garota, criando confusões engraçadas e mostrando que o amor vai além do dinheiro.",0.000000,0.000000,0.000000,0.000000,0.200000,0.200000,"248244,195452,1181237,1296671,437829","Bonitinha Mas Ordinária,As Amorosas,Apaixonada,Obsessão Maldita,Longa Noite do Prazer"
1054561,Abraço de Mãe,"Um terror emocional sobre bombeiros em uma missão para evacuar um asilo durante uma tempestade, enfrentando perigos sobrenaturais e dilemas morais.",1.000000,1.000000,1.000000,1.000000,1.000000,0.600000,"1054561,70420,841793,1374043,1380847","Abraço de Mãe,A Estranha Hospedaria dos Prazeres,Ilhados,Inflamável,BOSQUE"
1340714,Falando das Flores,"Um drama político sobre um noivo desaparecido durante protestos, enquanto seu parceiro enfrenta o caos e a dor em meio a um casamento interrompido pela repressão.",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"1340714,341612,360232,1031033,864160","Falando das Flores,Mulher Objeto,Entreturnos,Labirinto,Verão"
613868,Primos,"Um romance proibido entre dois primos em uma cidade pequena, explorando temas como sexualidade, religião e aceitação em uma narrativa sensível e emocionante.",0.000000,0.000000,0.000000,0.000000,0.800000,0.333333,"500551,400050,358896,1310194,1413709","Public Intimacy,Um Clássico Dois em Casa Nenhum Jogo Fora,Sadismo - Aberrações Sexuais,Solstício,Homens de Barro"
652483,Modo Avião,"Uma comédia romântica sobre uma influenciadora digital que é forçada a se desconectar do celular e descobrir a vida real, com situações hilárias e lições valiosas.",0.000000,0.000000,0.000000,0.000000,0.600000,0.266667,"1311955,1179633,1069582,195452,1058754","Zombies digitais,Espetáculo,Biu a Vida Real Não Tem Retake,As Amorosas,Um homem com um celular"
502581,Nada a Perder,"Um drama biográfico sobre um líder religioso controverso, mostrando sua ascensão, escândalos e a construção de um império midiático e religioso no Brasil.",0.000000,0.000000,0.000000,0.000000,0.750000,0.625000,"651416,74349,368103,507935,1110062","O Crime da Imagem,O Dragão da Maldade contra o Santo Guerreiro,Chatô: O Rei do Brasil,Fé,Cavalgada da Esperança: Padroeira do Brasil"
1043808,Vitória,"Um drama baseado em fatos reais sobre uma idosa que documenta o tráfico de drogas em seu bairro, enfrentando perigos para denunciar a violência e a corrupção.",1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,"1043808,536797,1433456,467968,555785","Vitória,Na Mira do Assassino,Ione,Rota de Fuga,Relatos do Front"
429474,Esperando Cecília,"Um drama minimalista sobre dois amigos que aguardam a chegada de alguém especial, explorando diálogos profundos e a passagem do tempo em um encontro cotidiano.",0.000000,0.000000,0.000000,0.000000,0.250000,0.250000,"1309743,526703,1402457,631823,477084","Emaranhado,Silêncio,Sabiá,Cadência,O Encontro"
429210,Bingo: O Rei das Manhãs,"Um drama biográfico sobre um famoso palhaço de TV que luta contra o anonimato e a frustração de ser reconhecido apenas por seu personagem, não por sua verdadeira identidade.",0.000000,0.000000,0.000000,0.000000,0.600000,0.300000,"998065,195452,1073308,968519,1397304","Meu Outro Nome É Luiza,As Amorosas,Do Útero Ao Túmulo,Brasileiríssima,Trópico de Leão"
786705,Confissões de uma Garota Excluída,"Um drama adolescente sobre uma garota que tenta se reinventar em uma nova escola após sofrer bullying, mostrando suas inseguranças e a busca por aceitação.",1.000000,1.000000,1.000000,1.000000,1.000000,0.600000,"786705,1210833,644444,1041957,180371","Confissões de uma Garota Excluída,Automação dos Poetas Mortos,Valentina,MEDÉIA,Vai Que Dá Certo"
40423,Orfeu do Carnaval,"Um drama musical que adapta o mito de Orfeu e Eurídice no cenário do Carnaval carioca, com samba, paixão e tragédia em uma narrativa poética e emocional.",1.000000,1.000000,1.000000,1.000000,0.400000,0.300000,"40423,359808,371700,385566,1438462","Orfeu do Carnaval,Damas do Samba,Guerra ao Samba,Apaixonados: O Filme,Rio Carnaval da Vida"
558556,Astaroth,"Um terror sobrenatural sobre um tatuador obcecado por um demônio, cujos rituais sombrios atraem forças malignas que ameaçam destruir sua vida e de quem ele ama.",1.000000,1.000000,0.500000,0.630930,1.000000,1.000000,"1255312,558556,428882,1458600,1320092","Fitas Proibidas - Antologia do Terror,Astaroth,Mal Nosso,Divino Assassino,As Mortes de Hera"
67062,Terra em Transe,"Um drama político alegórico sobre um poeta dividido entre a revolução e a loucura em um país fictício, criticando a corrupção e a manipulação do poder.",1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,"67062,923075,535978,774852,372816","Terra em Transe,Patativa do Assaré - Um Poeta do Povo,A Saga da Alma de um Poeta,Dramática,Gitirana"
418896,O Vendedor de Sonhos,"Um drama filosófico sobre um mendigo que salva um homem do suicídio e o leva em uma jornada de transformação, questionando o sentido da vida e os valores da sociedade.",1.000000,1.000000,0.250000,0.430677,0.750000,0.750000,"979295,535978,331100,418896,713801","DesAmor,A Saga da Alma de um Poeta,O Lado Certo da Vida Errada,O Vendedor de Sonhos,A Sogra"
820710,Medusa,"Um terror feminista sobre uma gangue de mulheres que perseguem e punem outras que consideram pecadoras, em uma crítica à moralidade e à violência religiosa.",1.000000,1.000000,1.000000,1.000000,0.400000,0.300000,"820710,1102612,859893,359306,1027261","Medusa,Mulheres da Pá Virada,Casa Helenira Preta de Referência para Mulher,Duas Estranhas Mulheres,O Clube das Mulheres de Negócios"
203217,Minha Mãe é uma Peça: O Filme,"Uma comédia popular sobre uma mãe divorciada que tenta reconstruir sua vida e reconquistar o amor dos filhos, com situações hilárias e emocionantes.",0.000000,0.000000,0.000000,0.000000,0.750000,0.750000,"522168,1315843,495469,513216,620683","Mulheres Alteradas,Mamãe Saiu de Férias,A Morte Inventada - Alienação Parental,Todo Clichê do Amor,Minha Mãe é uma Peça 3: O Filme"
52333,Nosso Lar,"Um drama espiritual baseado nas obras de Chico Xavier, mostrando a vida após a morte em uma colônia espiritual e as lições aprendidas por um médico recém-chegado.",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"52333,41520,687740,649985,80763","Nosso Lar,Chico Xavier,As Cartas de Chico Xavier,Predestinado: Arigó e o Espírito do Dr. Fritz,O Filme dos Espíritos"
1220450,Casamento às Cegas Brasil: Depois do Altar,"Um reality show em formato de documentário que reúne participantes de um experimento social sobre amor e relacionamentos, revelando dramas e reconciliações.",0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,"1403140,156180,1204664,195452,1318599","Retratos de Amor,Amor?,Bixas Pretas: Entre o Amor e Afetos,As Amorosas,Partilha"
44125,Do Começo ao Fim,"Um romance controverso sobre dois meio-irmãos que desenvolvem um relacionamento amoroso, explorando tabus familiares e a complexidade dos sentimentos humanos.",0.000000,0.000000,0.000000,0.000000,1.000000,0.700000,"215301,183678,1309743,1413709,1397304","Pequeno Dicionário Amoroso,A Margem,Emaranhado,Homens de Barro,Trópico de Leão"
1429511,Vislumbres,"Um documentário experimental sobre a cultura ballroom em São Paulo, mostrando a arte, a resistência e a expressão da comunidade LGBTQIA+ através da dança e da moda.",1.000000,1.000000,1.000000,1.000000,1.000000,0.600000,"1429511,1389069,704081,542783,1245094","Vislumbres,Trajados,Para Onde Voam as Feiticeiras,Maravilhosa,Em Movimento"
1193283,Salão De Baile,"Um documentário sobre a cena LGBTQIA+ em salões de baile, celebrando a diversidade, a criatividade e a luta por visibilidade em um espaço de acolhimento e expressão.",0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,"542783,668044,704081,1204664,832399","Maravilhosa,Inabitáveis,Para Onde Voam as Feiticeiras,Bixas Pretas: Entre o Amor e Afetos,Além de Petro Viado"
42109,"Gabriela, Cravo e Canela","Um drama romântico baseado no clássico de Jorge Amado, sobre uma mulher sensual que desafia os costumes de uma cidade conservadora no Nordeste dos anos 1920.",0.000000,0.000000,0.000000,0.000000,0.800000,0.400000,"341386,1352343,1181237,236310,393448","Seara Vermelha,3 Obás de Xangô,Apaixonada,Mar de Rosas,Amor e Desamor"
1184420,Morando com o Crush,"Uma comédia romântica sobre dois adolescentes apaixonados cujos pais começam a namorar, forçando-os a conviver e enfrentar sentimentos confusos sob o mesmo teto.",0.000000,0.000000,0.000000,0.000000,0.400000,0.200000,"441730,1041957,719030,341860,952819","Fica Comigo,MEDÉIA,Nós,Cleo e Daniel,Lídia E Seu Primeiro Amante"
1156212,Maníaco do Parque,"Um thriller baseado em crimes reais, sobre uma jornalista que investiga um assassino em série, colocando sua própria vida em risco para desvendar os horrores cometidos.",0.000000,0.000000,0.000000,0.000000,0.800000,0.333333,"536797,437841,1054630,1363600,410819","Na Mira do Assassino,Coleção de Humanos Mortos,A Beleza Viva nos Teus Olhos Mortos,O Assassino,Crime de Amor"
1131279,Princesa Adormecida,Um romance fantástico sobre uma adolescente superprotegida que descobre um mistério do passado e precisa enfrentar uma vilã vingativa para salvar seu destino.,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"539042,410561,1296671,886511,1368233","Deslembro,Os Xeretas,Obsessão Maldita,Curupira: O Demônio da Floresta,Espelhos do Passado"
1097702,Falas Femininas,"Um documentário emocionante que reúne histórias de mulheres diversas, discutindo desafios, conquistas e a luta por igualdade em diferentes contextos sociais.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"980312,791457,1277501,748726,1030654","(Des)Proporcional,MUJ(ERES)?,O Primeiro Beijo,Carta Sobre Nosso Lugar: Mulheres do Vila Nova,Luzes Mulheres Ação"
1004284,Nosso Lar 2: Os Mensageiros,"Uma continuação espiritualista sobre espíritos em missão na Terra, explorando temas como redenção, ajuda ao próximo e a conexão entre os planos material e espiritual.",0.000000,0.000000,0.000000,0.000000,0.750000,0.750000,"194773,619517,80763,570099,1426951","Vereda da Salvação,Oni,O Filme dos Espíritos,O Bem-Aventurado,Espirito do Tempo"
594797,Maria Luiza,"Um documentário sobre a primeira mulher trans nas Forças Armadas brasileiras, mostrando sua batalha por reconhecimento e respeito em um ambiente tradicionalmente conservador.",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"594797,568586,1121604,1257199,1121606","Maria Luiza,Exteriores - Mulheres Brasileiras na Diplomacia,Trans(verso),Mulheres Olímpicas,Memórias Femininas da Luta Contra a Ditadura Militar"
8440,Carandiru,"Um drama baseado em fatos reais sobre a vida no maior presídio da América Latina, mostrando a violência, a solidariedade e o massacre que marcou a história do Brasil.",0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,"315749,526752,181619,637847,322985","Topografia De Um Desnudo,Desterro,Pra Frente Brasil,Encarcerados,Pedro Canhoto O Vingador Erótico"
651906,M-8: Quando a Morte Socorre a Vida,"Um thriller médico sobre um estudante que investiga a identidade de um cadáver usado em suas aulas de anatomia, descobrindo segredos sombrios e ligações com seu passado.",0.000000,0.000000,0.000000,0.000000,0.600000,0.400000,"1385687,1393836,1073308,379316,1222242","[Projeto sem Título],O Vale da Sombras da Morte,Do Útero Ao Túmulo,O Caseiro,Hospício Jardim Aurora"
1025463,Biônicos,"Uma comédia romântica sobre um solteirão que contrata uma falsa esposa para herdar uma fortuna, mas acaba se envolvendo em confusões e sentimentos inesperados.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"373680,522168,609210,195452,260985","A Cama ao Alcance de Todos,Mulheres Alteradas,Escrava do Desejo,As Amorosas,Sonhando com Milhões"
648818,"Julian sem A, sem O","Um documentário íntimo sobre um artista trans que compartilha sua jornada de autodescoberta, desafios e a busca por aceitação em um mundo cheio de preconceitos.",0.000000,0.000000,0.000000,0.000000,0.600000,0.600000,"466884,1275708,1121604,636682,1162961","Tailor,Crayon,Trans(verso),Eu Sinto Muito,Stavo"
42234,Dona Flor e Seus Dois Maridos,"Uma comédia clássica sobre uma viúva que recebe a visita do fantasma do marido falecido, criando situações hilárias e românticas com seu novo e recatado esposo.",1.000000,1.000000,0.200000,0.386853,0.800000,0.400000,"1384354,861101,438602,250062,42234","Olhe Para Mim,Pluft - O fantasminha,Lamparina da Aurora,A Viúva Virgem,Dona Flor e Seus Dois Maridos"
7343,Cidade dos Homens,"Um drama urbano sobre dois amigos crescendo em uma favela, enfrentando a violência das gangues e os desafios da vida adulta em um cenário de desigualdade social.",0.000000,0.000000,0.000000,0.000000,0.600000,0.600000,"360789,194814,379754,1236047,183678","Sexo Sexo e Sexo,Maior Que o Ódio,Os Marginais,Banca Forte,A Margem"
553608,Cinderela Pop,"Um musical moderno sobre uma princesa dos dias atuais que perde tudo, mas encontra o amor e a força para reconstruir sua vida com autenticidade e independência.",1.000000,1.000000,1.000000,1.000000,0.600000,0.500000,"553608,1131279,1412505,1100784,1266156","Cinderela Pop,Princesa Adormecida,Amaríssima,A Rainha da Noite,A Cor Púrpura - O Musical"
43615,"Lula, o Filho do Brasil","Um drama biográfico sobre a infância e juventude do ex-presidente brasileiro, mostrando sua origem humilde, lutas políticas e ascensão na vida pública.",0.000000,0.000000,0.000000,0.000000,0.400000,0.200000,"952392,1195721,229696,1361293,194980","O Presidente Improvável,15 filhos,Jango,Brizola,O Desafio"
466190,O Matador,"Um faroeste brasileiro sobre um cangaceiro que busca vingança contra um poderoso francês explorador de pedras preciosas, em um cenário de violência e injustiça no sertão.",1.000000,1.000000,0.500000,0.630930,0.750000,0.500000,"322985,466190,1004896,327353,777296","Pedro Canhoto O Vingador Erótico,O Matador,A Arte do Roubo,Lampião Rei do Cangaço,Luta nos Pampas"
661595,A Princesa da Yakuza,"Um thriller de ação sobre uma herdeira da máfia japonesa que descobre seu passado e precisa lutar para sobreviver em São Paulo, com cenas de lutas e conspirações.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"536797,1097175,70147,417512,252540","Na Mira do Assassino,Grande Sertão,A Dama do Cine Shanghai,É Um Caso de Polícia!,Rinha: O Filme"
962232,Depois do Universo,"Um romance emocionante sobre uma pianista com lúpus que encontra um médico gentil, mostrando como o amor pode surgir mesmo em meio às maiores adversidades da vida.",0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,"1181237,1200486,428327,355282,147872","Apaixonada,O Pianista,O Amor no Divã,Introdução à Música do Sangue,Fome de Amor"
